,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
229,Saint Pierre and Miquelon (France),5819.0,0%,1 Jan 2025,Official estimate[234],
230,"Saint Helena, Ascension and Tristan da Cunha (UK)",5651.0,0%,1 Jul 2021,2021 Census[241][242][243],
231,Montserrat (UK),4386.0,0%,23 Sep 2023,2023 census result[244],
232,Falkland Islands (UK),3662.0,0%,10 Oct 2021,2021 census result[245],
233,Tokelau (New Zealand),2608.0,0%,1 Jan 2025,2025 Census[246],
234,Norfolk Island (Australia),2188.0,0%,1 Jan 2021,2021 Census[247],
235,,,,,,
236,Christmas Island (Australia),1692.0,0%,1 Jan 2021,2021 Census[248],
237,Niue (New Zealand),1681.0,0%,11 Nov 2022,2022 Census[249],
238,Vatican City,882.0,0%,31 Dec 2024,Official figure[250],[ah]
239,Cocos (Keeling) Islands (Australia),593.0,0%,30 Jun 2020,2021 Census[251],
240,Pitcairn Islands (UK),35.0,0%,1 Jul 2023,Official estimate[252],
